,Req,Street,Area,Price,Available,Link,Added,Image
0,,2/2 at 21 Turnbull Street, G1,"£1,200 pcm",Added on 15/05/2023,https://www.rightmove.co.uk/properties/134828987#/?channel=RES_LET,13:39 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62846/134828987/62846_946604_IMG_04_0000_max_476x317.jpeg
1,,Bell Street, Glasgow  G4 0TD,"£1,200 pcm",Added on 31/05/2023,https://www.rightmove.co.uk/properties/135519809#/?channel=RES_LET,13:39 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71789/135519809/71789_act116_IMG_00_0000_max_476x317.jpeg
2,,Stobcross Street, Finnieston  G3,"£1,200 pcm",Added on 28/04/2023,https://www.rightmove.co.uk/properties/134239544#/?channel=RES_LET,13:39 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3304/134239544/3304_000772561_IMG_00_0000_max_476x317.jpeg
3,TRUE,Charlotte Street, Glasgow  G1,"£1,200 pcm",Added on 09/05/2023,https://www.rightmove.co.uk/properties/135657518#/?channel=RES_LET,20:47 2023/06/06,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/135657518/96668_170084209052023_IMG_00_0000_max_476x317.jpeg
4,TRUE,Hutcheson Street, Flat 39  Merchant City  Glasgow  G1 1SN,"£1,200 pcm",Added today,https://www.rightmove.co.uk/properties/135772409#/?channel=RES_LET,20:47 2023/06/06,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/29k/28232/135772409/28232_RLWC2880_IMG_00_0000_max_476x317.jpeg
5,TRUE,Blackfriars Court, City Centre  Glasgow  G1,"£1,200 pcm",Added on 02/06/2023,https://www.rightmove.co.uk/properties/135651017#/?channel=RES_LET,20:47 2023/06/06,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/127k/126982/135651017/126982_P340_IMG_00_0000_max_476x317.jpeg
6,,St. Andrews Square, Glasgow,"£1,200 pcm",Added today,https://www.rightmove.co.uk/properties/135631640#/?channel=RES_LET,17:17 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76912/135631640/76912_000751768_IMG_00_0000_max_476x317.jpeg
7,,Clyde Street , Glasgow  G1 4LH ,"£1,200 pcm",Added on 04/05/2023,https://www.rightmove.co.uk/properties/134448374#/?channel=RES_LET,13:39 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71789/134448374/71789_act348_IMG_00_0000_max_476x317.jpeg
8,,Flat 1/2, 73 Port Dundas Road  G4 0HF,"£1,200 pcm",Added yesterday,https://www.rightmove.co.uk/properties/135562850#/?channel=RES_LET,13:39 2023/06/02,
9,,Otago Street, Hillhead  Glasgow  G12,"£1,200 pcm",Added yesterday,https://www.rightmove.co.uk/properties/135599015#/?channel=RES_LET,13:39 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58202/135599015/58202_P1174_IMG_00_0001_max_476x317.jpeg
10,TRUE,9 Albion Gate, Merchant City  G1 1HE,"£1,200 pcm",Added yesterday,https://www.rightmove.co.uk/properties/135717818#/?channel=RES_LET,20:47 2023/06/06,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5136/135717818/5136_000778429_IMG_00_0000_max_476x317.jpeg
11,,Bedford Street, Glasgow  G5,"£1,200 pcm",Added on 25/05/2023,https://www.rightmove.co.uk/properties/135295379#/?channel=RES_LET,13:39 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3304/135295379/3304_000747479_IMG_00_0000_max_476x317.jpeg
12,,Fox Street, City Centre,"£1,200 pcm",Added on 16/05/2023,https://www.rightmove.co.uk/properties/134863289#/?channel=RES_LET,13:39 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5827/134863289/5827_101094003038_IMG_00_0000_max_476x317.jpeg
13,,Flat 3/2 83 Hyndland Street,,"£1,200 pcm",Added on 04/05/2023,https://www.rightmove.co.uk/properties/135428090#/?channel=RES_LET,13:39 2023/06/02,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75848/135428090/75848_32298052_IMG_00_0000_max_476x317.jpeg
